iter	MultiClass
0	2.514389223
1	2.473390385
2	2.439574984
3	2.411337601
4	2.387684366
5	2.367520269
6	2.350243915
7	2.335319176
8	2.322428196
9	2.311300704
10	2.30164823
11	2.293174458
12	2.285835937
13	2.279381835
14	2.27368908
15	2.268548426
16	2.264027502
17	2.260013202
18	2.256561827
19	2.253487456
20	2.250822669
21	2.248372779
22	2.246219258
23	2.244265888
24	2.242455259
25	2.240919426
26	2.239427366
27	2.238197554
28	2.237083767
29	2.236093306
30	2.235153929
31	2.234340425
32	2.233510505
33	2.232791748
34	2.232089736
35	2.231402493
36	2.230848033
37	2.230272449
38	2.229764757
39	2.2293704
40	2.22888614
41	2.228453775
42	2.22804227
43	2.227634897
44	2.227313921
45	2.226964979
46	2.22667313
47	2.226300902
48	2.225968356
49	2.225639373
50	2.225416285
51	2.225089776
52	2.224775758
53	2.224530332
54	2.224232153
55	2.223950229
56	2.223705933
57	2.223403214
58	2.223132995
59	2.222847635
60	2.22251885
61	2.222219136
62	2.222021198
63	2.221724404
64	2.22146203
65	2.221426062
66	2.22124744
67	2.221002586
68	2.22078527
69	2.220487005
70	2.220266899
71	2.220048646
72	2.219787233
73	2.219534737
74	2.219287498
75	2.219068943
76	2.218790152
77	2.218630581
78	2.2183617
79	2.218184849
80	2.217900728
81	2.217708351
82	2.217463281
83	2.217286414
84	2.217033708
85	2.21679029
86	2.216509529
87	2.216372669
88	2.216148937
89	2.215931211
90	2.215686234
91	2.21566787
92	2.215449396
93	2.215214345
94	2.214964092
95	2.214801777
96	2.214643451
97	2.21446741
98	2.214259675
99	2.214111003
100	2.21386622
101	2.213627536
102	2.213439763
103	2.213177302
104	2.212986561
105	2.212750204
106	2.212525614
107	2.212320583
108	2.212053134
109	2.211823305
110	2.211625701
111	2.211326171
112	2.211028762
113	2.210849217
114	2.210624862
115	2.21032467
116	2.210088597
117	2.209883407
118	2.209624316
119	2.209401942
120	2.209180482
121	2.208921224
122	2.20870162
123	2.208430834
124	2.208222695
125	2.207966488
126	2.207713898
127	2.207468226
128	2.20717214
129	2.2069317
130	2.206688953
131	2.206384582
132	2.206135173
133	2.205933602
134	2.205753104
135	2.205485484
136	2.205182633
137	2.204957509
138	2.20473052
139	2.204552033
140	2.204380095
141	2.204157537
142	2.203938567
143	2.203712007
144	2.203490871
145	2.203254517
146	2.202980744
147	2.202807943
148	2.202591854
149	2.202417414
150	2.202197472
151	2.201919574
152	2.201696563
153	2.201513005
154	2.201214678
155	2.20100092
156	2.200815726
157	2.20053756
158	2.200285747
159	2.200128146
160	2.199910639
161	2.199765333
162	2.199499468
163	2.199269112
164	2.199075453
165	2.198861466
166	2.198613508
167	2.198473179
168	2.198230407
169	2.197988688
170	2.197799755
171	2.197566056
172	2.197264069
173	2.19708788
174	2.196908025
175	2.196720477
176	2.196470368
177	2.196294584
178	2.19606732
179	2.195917034
180	2.195726999
181	2.195555113
182	2.195278023
183	2.195053947
184	2.194848448
185	2.194672765
186	2.194468515
187	2.194216439
188	2.194011098
189	2.193765402
190	2.19352102
191	2.193168866
192	2.192954824
193	2.192803173
194	2.192589192
195	2.192421441
196	2.192295378
197	2.192128848
198	2.191928691
199	2.191774624
200	2.191608279
201	2.19144834
202	2.191130102
203	2.190908989
204	2.190759822
205	2.190491691
206	2.190330125
207	2.190188856
208	2.190055569
209	2.189834096
210	2.189574415
211	2.189412449
212	2.189158135
213	2.188921404
214	2.18870126
215	2.188563964
216	2.188357698
217	2.188151036
218	2.187983333
219	2.187763197
220	2.18757743
221	2.187359252
222	2.187195429
223	2.186981538
224	2.186748314
225	2.186469696
226	2.186262466
227	2.186067901
228	2.185907024
229	2.1857505
230	2.18559711
231	2.185404303
232	2.18517461
233	2.185016894
234	2.184839547
235	2.184656985
236	2.184546515
237	2.184338192
238	2.18408685
239	2.183908371
240	2.183701415
241	2.183497248
242	2.183350607
243	2.183175404
244	2.183057072
245	2.182809705
246	2.182598467
247	2.182448326
248	2.182236547
249	2.182094683
250	2.181739605
251	2.181525807
252	2.181325744
253	2.181180343
254	2.181027234
255	2.180871156
256	2.18073675
257	2.180469218
258	2.180342083
259	2.180159737
260	2.179925043
261	2.179775183
262	2.179610457
263	2.179483943
264	2.179191302
265	2.178974815
266	2.17875442
267	2.178608505
268	2.17846103
269	2.178268145
270	2.178119707
271	2.177886187
272	2.177646291
273	2.177454316
274	2.177307531
275	2.177116261
276	2.176967914
277	2.176839973
278	2.176662926
279	2.176438229
280	2.176225283
281	2.17605616
282	2.175923933
283	2.175721197
284	2.175629102
285	2.175400331
286	2.175230387
287	2.175018194
288	2.17486738
289	2.17473981
290	2.17457035
291	2.174397367
292	2.174240434
293	2.174048566
294	2.173910472
295	2.173659077
296	2.17343174
297	2.173319475
298	2.173198791
299	2.173067111
300	2.172901257
301	2.172718148
302	2.172515913
303	2.172379283
304	2.172179846
305	2.171932624
306	2.171806613
307	2.171602298
308	2.171402724
309	2.171216967
310	2.170958371
311	2.170828171
312	2.170670345
313	2.170507459
314	2.170283409
315	2.170064108
316	2.169912228
317	2.169742163
318	2.169585573
319	2.169450073
320	2.169202659
321	2.169048549
322	2.168821987
323	2.168608362
324	2.168432977
325	2.168232828
326	2.168012219
327	2.167739962
328	2.167555507
329	2.167426962
330	2.167286362
331	2.167133052
332	2.166981156
333	2.166744407
334	2.166579433
335	2.166465548
336	2.166280509
337	2.166134177
338	2.165971709
339	2.165765019
340	2.16554358
341	2.165350996
342	2.16519809
343	2.165029315
344	2.164849332
345	2.164683236
346	2.16450179
347	2.164343649
348	2.164172451
349	2.163990524
350	2.163774101
351	2.163632987
352	2.16349382
353	2.16326238
354	2.163032089
355	2.162892997
356	2.162751591
357	2.162602457
358	2.162389585
359	2.162215987
360	2.162014022
361	2.161802782
362	2.161675299
363	2.161487559
364	2.16136185
365	2.161177339
366	2.161058497
367	2.160894688
